"FiscalYear","Provider","Borough","TotalSlots","TotalParticipants"
"2021","Haitian Americans United For Progress, Inc.","Brooklyn","37","37"
"2021","Atlantic Avenue Association Local Development Corporation","Brooklyn","N/A","N/A"
"2021","Jacob A. Riis Neighborhood Settlement","Queens","165","121"
"2021","SCO Family of Services","Brooklyn","N/A","N/A"
"2021","Conscientious Musical Revues","Bronx","N/A","N/A"
"2021","New York Edge, Inc.","Bronx","100","106"
"2021","Coalition for Hispanic Family Services","Queens","120","125"
"2021","Argus Community Inc","Bronx","N/A","N/A"
"2021","Islamic Circle of North America, Inc.","Queens","N/A","N/A"
"2021","Global Kids, Inc.","Bronx","N/A","N/A"
"2021","Riverstone Senior Life Services, Inc.","Manhattan","N/A","N/A"
"2021","Fordham University","Bronx","92","166"
"2021","Christ Church-New Brighton","Staten Island","N/A","N/A"
"2021","Queens Community House, Inc.","Queens","N/A","N/A"
"2021","The Crenulated Company LTD","Bronx","N/A","N/A"
"2021","Kings Bay YM-YWHA, Inc.","Brooklyn","90","57"
"2021","YMCA of Greater New York - Virtual Y","Manhattan","45","6"
"2021","Bergen Beach Youth Organization, Inc.","Brooklyn","157","159"
"2021","Good Shepherd Services","Bronx","N/A","N/A"
"2021","NYC Parks & Recreation/The Arsenal","Brooklyn","45","0"
"2021","Masbia of Boro Park","Brooklyn","N/A","N/A"
"2021","Jewish Community Center of Staten Island, Inc.","Staten Island","350","201"
"2021","Graham Windham","Manhattan","30","61"
"2021","RiseBoro Community Partnership Inc","Brooklyn","125","132"
"2021","I Challenge Myself, Inc","Manhattan","20","7"
"2021","Project Hospitality, Inc","Staten Island","N/A","N/A"
"2021","Inwood Community Services, Inc.","Manhattan","157","107"
"2021","Kips Bay Boys and Girls Club Inc","Bronx","50","34"
"2021","Queens Community House, Inc.","Queens","300","126"
"2021","Black Veterans for Social Justice, Inc.","Brooklyn","N/A","N/A"
"2021","Samuel Field YM & YWHA, Inc.","Queens","N/A","N/A"
"2021","Everyone Reading Inc","Brooklyn","N/A","N/A"
"2021","Chinese-American Planning Council Inc","Brooklyn","300","189"
"2021","Bronx House Inc","Bronx","111","112"
"2021","New York City H2O, Inc.","Queens","N/A","N/A"
"2021","University Settlement Society of New York","Manhattan","N/A","N/A"
"2021","Under 21","Bronx","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","100","115"
"2021","Queens Community House, Inc.","Queens","58","77"
"2021","Literacy Trust Inc","Manhattan","N/A","N/A"
"2021","United Activities Unlimited, Inc.","Staten Island","125","110"
"2021","C C M S","Brooklyn","N/A","N/A"
"2021","New York Road Runners, Inc","Manhattan","N/A","N/A"
"2021","Learning Through An Expanded Arts Program, Inc.","Brooklyn","91","74"
"2021","St. John's University","Queens","N/A","N/A"
"2021","Fund for the City of New York, Inc.","Brooklyn","N/A","N/A"
"2021","Landmark West, Inc","Manhattan","N/A","N/A"
"2021","Riverdale Community Center, Inc.","Bronx","120","133"
"2021","Good Shepherd Services","Bronx","55","62"
"2021","YMCA of Greater New York/Jamaica Branch","Queens","100","34"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","N/A","N/A"
"2021","Father's Alive In The Hood, Inc.","Queens","N/A","N/A"
"2021","Partners Uplifting Our Daughters and Sons Inc","Bronx","N/A","N/A"
"2021","YMCA of Greater New York/Greenpoint","Brooklyn","75","71"
"2021","Women In Need, Inc.","Brooklyn","80","120"
"2021","Queens Community House, Inc.","Queens","115","137"
"2021","North Flatbush Avenue District Mangement Association Inc.","Brooklyn","N/A","N/A"
"2021","Zimmer Club Youth Conservation Program of Staten Island, Inc","Staten Island","N/A","N/A"
"2021","Shaare Zion Congregation","Brooklyn","N/A","N/A"
"2021","The Children's Aid Society","Manhattan","157","124"
"2021","Child Development Ctr of the Mosholu Montefiore Comm Center","Bronx","193","233"
"2021","African Refuge Inc.","Staten Island","50","59"
"2021","Stryckers Bay Neighborhood Council, Inc.","Manhattan","48","50"
"2021","Summer on the Hill","Bronx","N/A","N/A"
"2021","Council of Peoples Organization, Inc.","Brooklyn","N/A","N/A"
"2021","ASSOC OF COMMUNITY EMPLOYMENT PGRMS FOR THE HOMELESS INC","Queens","N/A","N/A"
"2021","University Settlement Society of New York","Brooklyn","N/A","N/A"
"2021","Harlem Educational Activities Fund, Inc.","Manhattan","N/A","N/A"
"2021","The Children's Village","Manhattan","40","9"
"2021","Recess Activities, Inc.","Brooklyn","N/A","N/A"
"2021","Eden II School for Autistic Children, Inc.","Staten Island","N/A","N/A"
"2021","New York Edge, Inc.","Brooklyn","101","82"
